中文文案,英语,日语,印尼语
工号,Employee ID,社員番号,ID Karyawan
工位,Desk number,座席番号,Nomor Meja
组织代码,Organization Code,組織コード,Kode Organisasi
服务协议、隐私权政策,Terms of Service、Privacy Policy,「利用規約」及び「プライバシーポリシー」,Ketentuan Layanan、Kebijakan Privasi
登录,Sign in,ログイン,Masuk
注册,Sign up,新規登録,Daftar
邮箱,Mail,メール,Email
电话号码,Phone number,携帯番号,Nomor Telепон
退出登录,Sign out,ログアウト,Keluar
保持登录,Keep me logged in,自動ログイン,Tetap Masuk
企业账号,Enterprise Account,企業アカウント,Akun Perusahaan
选择国家和地区代码,Select country or region,国また地域を選択,Pilih negara atau wilayah
成员,User,ユーザー,Pengguna
好友,Contacts,連絡先,Kontak
更多,More,その他,Lainnya
登录遇到问题？,Help center,ヘルプセンター,Pusat Bantuan
人工申诉,Submit an Appeal,異議を申し立てる,Ajukan Banding
账号挂失,Suspend Account,アカウントを一時停止,Tangguhkan Akun
考勤机,Time Clock,打刻機,Absensi
办公地点,Work Location,勤務地,Lokasi Kerja
头像,Profile Photo,プロフィール写真,Foto Profil
昵称,Name,名前,Nama
钉钉号,DingTalk ID,DingTalk ID,DingTalk ID
我的二维码,My QR Code,マイQRコード,Kode QR Saya
我的名片,My Business Card,マイ名刺,Kartu Nama Saya
我的企业身份,My Business Identity,所属企業,Identitas Bisnis Saya
工作经历,Work Experience,職歴,Pengalaman Kerja
部门,Department,部門,Departemen
确定,Confirm,完了,Konfirmasi
取消,Cancel,キャンセル,Batal
完成,Complete,完了,Selesai
下一步,Next,次へ,Berikutnya
验证码,Verification Code,認証コード,Kode Verifikasi
热门国家和地区,Popular,よく選択される国・地域,Populer
上一步,Back,戻る,Kembali
返回,Back,戻る,Kembali
关闭,Close,閉じる,Tutup
保存,Save,保存,Simpan
编辑,Edit,編集,Edit
删除,Delete,削除,Hapus
添加,Add,追加,Tambah
创建,Create,作成,Buat
更新,Update,更新,Perbarui
刷新,Refresh,更新,Muat Ulang
搜索,Search,検索,Cari
筛选,Filter,絞り込み,Filter
排序,Sort,並び替え,Urutkan
更多,More,その他,Lainnya
查看详情,View details,詳細を見る,Lihat Detail
复制,Copy,コピー,Salin
粘贴,Paste,貼り付け,Tempel
提交,Submit,送信,Kirim
撤回,Recall,送信取消,Tarik Kembali
重新发送,Resend,再送信,Kirim Ulang
重试,Try again,再試行,Coba Lagi
加载中,Loading,読み込み中,Memuat
成功,Success,成功,Berhasil
失败,Failed,失敗,Gagal
错误,Error,エラー,Kesalahan
警告,Warning,お知らせ,Peringatan
提示,Tips,お知らせ,Tips
确认,Confirm,確認,Konfirmasi
我知道了,Confirm,分かりました,Konfirmasi
已完成,Completed,完了しました,Selesai
未完成,Not completed,未完了,Belum Selesai
开启,On,オン,Aktif
启用,Enable,有効化完了,Aktifkan
禁用,Disable,無効,Nonaktifkan
允许,Allow,許可,Izinkan
拒绝,Decline,拒否,Tolak
同意,Accept,承認,Terima
不同意,Decline,キャンセル,Tolak
跳过,Skip,スキップ,Lewati
继续,Continue,続く,Lanjutkan
立即,Now,今すぐ,Sekarang
稍后,Later,後で,Nanti
全部,All,すべて,Semua
仅此一次,Only this time,今回のみ,Hanya Kali Ini
始终,Always,常に,Selalu
取消选择,Clear selection,選択を解除,Hapus Pilihan
选择,Select,選択,Pilih
选中,Selected,選択済み,Dipilih
取消置顶,Unpin,ピン留め解除,Lepas Sematan
置顶,Pin,ピン留め,Sematkan
下载,Download,ダウンロード,Unduh
上传,Upload,アップロード,Unggah
分享,Share,共有,Bagikan
导出,Export,エクスポート,Ekspor
导入,Import,インポート,Impor
预览,Preview,プレビュー,Pratinjau
打印,Print,印刷,Cetak
